name,cuisine,inspection_date,score,critical
MJ SMITH FOOD & SPIRITS,American,09/19/2024,17,1
EMPANADA MAMA,Latin American,04/17/2024,61,0
THE COPPOLA CAFE,Italian,05/24/2023,56,1
URBAN BACKYARD,Coffee/Tea,11/25/2022,12,0
AMC THEATRES,American,08/01/2024,5,0
MULBERRY STREET BAR,Italian,02/09/2022,13,1
MADMAN ESPRESSO,American,09/13/2023,12,1
THE WOOLY,American,06/27/2023,12,1
MOTT CORNER,American,05/07/2024,11,1
JASPER'S TAPHOUSE & KITCHEN,American,09/19/2024,22,1
SANDWICH HOUSE ITALIAN RESTAURANT,Sandwiches,06/18/2024,6,0
JACK'S WIFE FREDA,Mediterranean,07/01/2022,0,0
DUNKIN,Donuts,02/15/2022,13,1
"CASA MONO, BAR JAMON (NEXT DOOR)",Tapas,04/18/2023,33,1
CHECKERS,Hamburgers,01/14/2022,16,1
THE JOYCE THEATER,American,12/18/2018,13,1
BROADWAY COMEDY CLUB,American,12/29/2022,5,1
BENNY JOHN'S BAR AND GRILL,American,06/11/2024,12,0
SEN SAIGON,Vegetarian,01/27/2025,30,0
EL PORTON BAR & RESTAURANT,Mexican,06/05/2024,25,0
REX,Coffee/Tea,06/16/2023,39,1
GREGORYS COFFEE,Coffee/Tea,07/30/2024,7,0
MAGNOLIA BAKERY,Bakery Products/Desserts,08/12/2021,10,0
ACCENT RESTAURANT & BAR,Mediterranean,08/10/2018,12,0
LUXOR,Caribbean,02/17/2022,20,1
DA ANDREA RISTORANTE,Italian,02/06/2024,29,1
ONE LENOX,American,02/25/2019,18,0
BG EMPLOYEE CAFETERIA 4TH FL.,American,02/27/2023,7,1
CAFE 101,American,04/07/2023,25,1
AMY'S BREAD,Bakery Products/Desserts,05/06/2024,33,0
TRUMP CAFE & GRILL,American,02/07/2022,4,0
CAFE SELECT,Eastern European,09/22/2022,12,1
BLUE RIBBON FRIED CHICKEN,Chicken,04/05/2022,13,0
BLANK SLATE,American,03/12/2025,12,0
INTERLUDE CAFE,Coffee/Tea,11/01/2022,7,0
SUPER NICE COFFEE AND BAKERY,Coffee/Tea,07/24/2023,26,0
The Mayfly,American,01/02/2024,27,0
EMILY,American,06/25/2024,48,0
PHOSHIME,Asian/Asian Fusion,01/31/2024,37,1
LA GOURMET,American,03/07/2022,31,0
KASHMIR 9,Pakistani,12/05/2024,22,0
ETC,Fusion,11/19/2024,49,0
BXL ZOUTE,Eastern European,05/12/2022,27,0
BUBBY'S,American,06/25/2024,13,1
BENARES RESTAURANT,Indian,03/12/2025,46,0
DELI ON MADISON,American,01/26/2023,19,0
CHEF YU,Chinese,06/05/2024,40,1
LITTLE ITALY PIZZA,Pizza,12/26/2024,8,1
JUST SALAD,Salads,09/04/2024,44,1
DUNKIN DONUTS,Donuts,12/05/2023,5,1
THE JUNCTION,American,05/16/2023,23,1
OLE & STEEN,Scandinavian,03/24/2022,25,0
MEE SUM CAFE,Coffee/Tea,06/27/2022,50,0
OZEN SUSHI ASIAN FUSION,Asian/Asian Fusion,09/06/2022,9,1
CALLE DAO CHELSEA,Chinese/Cuban,03/28/2024,21,0
AARON'S CHINESE AND THAI,Chinese,09/10/2024,72,1
APPETHAIZE,Thai,12/01/2022,67,1
PIECES BAR,American,10/22/2024,11,0
AFTERNOON,Korean,01/25/2023,27,0
HAGS,American,01/09/2024,37,0
GYU-KAKU,Japanese,12/12/2023,27,0
Momentea,Asian/Asian Fusion,12/20/2023,8,1
BETEL PARTY SUPPLY BAKERY,Bakery Products/Desserts,08/01/2022,11,1
GAZALA'S,Mediterranean,12/14/2023,13,0
EL NUEVO CARRIBENO,Latin American,06/16/2022,32,1
LAN LARB ESAN,Thai,01/16/2025,44,0
SHOPSINS,American,10/31/2024,13,0
BAKERY ON 3RD CAFE,Bakery Products/Desserts,03/23/2022,28,1
FLEET BAKERY,Bakery Products/Desserts,02/28/2022,51,1
JOE & THE JUICE,Coffee/Tea,03/17/2023,56,1
DUNKIN',Donuts,08/18/2022,0,1
MAMA FINA'S,Filipino,12/28/2022,33,1
NEW TOPAZ,Thai,11/16/2023,31,0
MUSTANG HARRY'S,American,12/23/2024,19,1
D & P 44TH FLOOR COFFEE BAR/MARKET,Other,07/05/2023,6,0
LAMB'S BREAD CAFE & INFUSED BAKERY,American,05/12/2022,16,0
GJELINA,American,12/28/2022,10,0
PHEBES,American,10/19/2022,26,1
DOABA DELI,Indian,01/30/2023,51,1
BAR BOULUD,French,03/03/2025,26,1
HOP LEE RESTAURANT,Chinese,08/27/2024,12,0
STARBUCKS,Coffee/Tea,11/03/2021,9,1
CARVEL,Other,01/25/2023,26,0
E-NOODLE,Chinese,08/22/2023,45,0
STARBUCKS,Coffee/Tea,09/02/2022,13,1
LIBERTY BISTRO,French,08/29/2022,76,0
CAFE EVERGREEN,Chinese,08/03/2022,39,0
FANCY JUICE,"Juice, Smoothies, Fruit Salads",03/29/2023,26,0
AMBER SUSHI,Japanese,12/10/2024,43,1
PLAN B,Korean,08/18/2022,29,0
THE BEST OF NEW YORK FOOD,American,12/12/2022,16,1
JACK DIAMOND'S,American,09/27/2023,37,1
AC HOTEL NEW YORK DOWNTOWN,American,11/15/2024,26,0
WESTWAY DINER,American,03/24/2023,13,0
LISETTE RESTAURANT,Tex-Mex,07/28/2022,13,0
MINCA RAMEN FACTORY,Japanese,02/02/2022,16,1
FISH & SHRIMP RESTAURANT SPOT,Latin American,08/02/2022,75,1
DUNKIN,Donuts,07/14/2022,12,1
LA ISLA RESTAURANT,Latin American,04/10/2024,23,1
FOOLS GOLD,American,08/20/2019,18,0
CARIDAD RESTAURANT,Latin American,02/27/2023,20,1
LLAMA@THEPARK,Coffee/Tea,11/21/2023,12,0
TEN DEGREES,Sandwiches/Salads/Mixed Buffet,06/03/2023,9,0
RUBIROSA PIZZA & RISTORANTE,Pizza,10/21/2024,26,1
PLAYA BOWLS,"Juice, Smoothies, Fruit Salads",06/25/2024,10,1
PEPPAS,Caribbean,06/07/2022,12,0
Pick-A-Bagel,Bagels/Pretzels,09/08/2021,21,1
KISA,Korean,09/24/2024,34,0
SADELLES,American,01/26/2022,9,0
RONY'S FRESH PIZZA,Pizza,01/05/2022,13,1
MAMA'S BAR,Bottled Beverages,12/12/2023,25,1
MCDONALD'S,Hamburgers,07/15/2022,12,1
ERBALUCE,Italian,09/17/2024,30,1
GRAND SICHUAN EASTERN,Chinese,10/04/2023,23,1
MAISON PICKLE,American,09/12/2024,17,0
LA GOURMET,American,03/07/2022,31,1
LIBRAE BAKERY,Coffee/Tea,09/01/2023,27,0
CAFFE BUON GUSTO,Italian,10/12/2023,39,0
BROADWAY PIZZA,Pizza,09/05/2024,51,1
THE AINSWORTH MIDTOWN,American,08/15/2023,42,0
LA CASA DEL MOFONGO AND PIANO BAR,Latin American,06/23/2022,0,0
THE ODEON,French,07/30/2024,21,0
PATSY'S ITALIAN RESTAURANT,Italian,12/28/2023,13,0
CITI HOSPITALITY,American,05/10/2023,3,0
TAURO RESTAURANT,Latin American,04/13/2023,26,1
ANGELA'S CAKE,Bakery Products/Desserts,01/18/2022,13,0
TU SABOR LATINO,Latin American,07/16/2024,26,1
DUNKIN',Donuts,01/15/2025,38,1
RUSSIAN SAMOVAR,Russian,08/16/2021,12,1
GOLDEN CITY CHINESE RESTAURANT,Chinese,01/10/2022,42,0
MORSO,Italian,09/08/2022,11,0
FIDDLESTICKS,American,03/23/2022,13,0
HERALD SQUARE CAFE,American,09/14/2023,13,0
BOWERY ROAD,American,01/28/2025,9,0
NARI,Korean,06/27/2024,38,1
LE PAIN QUOTIDIEN,Coffee/Tea,12/24/2024,55,0
SANMIWAGO,Asian/Asian Fusion,07/18/2023,47,0
"DUNKIN',' BASKIN ROBBINS",American,08/28/2024,12,1
SABOR A MEXICO II,Mexican,01/23/2024,10,0
FRESCO,Italian,08/05/2022,34,0
TRE SORELLE,Italian,04/20/2022,14,0
THE COMFORT DINER,American,12/16/2024,21,0
BRISAS DEL MAR SEAFOOD MARKET,Seafood,10/11/2023,67,0
MILA'S BISTRO,French,12/03/2024,13,1
GONG CHA,Coffee/Tea,06/06/2022,13,1
PARM RESTAURANT,Italian,11/25/2024,10,1
16 Handles,Frozen Desserts,10/18/2023,12,0
HARBS,Bakery Products/Desserts,05/25/2022,10,1
STARBUCKS,Coffee/Tea,10/06/2022,8,1
RICE TO RICHES,Other,04/26/2022,12,1
FLEX,American,01/23/2024,22,1
CAZUELA MEXICANA,Mexican,01/02/2025,26,1
CRUMBLY CAFE & BAKERY,Bakery Products/Desserts,01/19/2022,13,0
FARM TO BURGER,American,07/11/2022,28,0
FAIRFIELD INN,American,08/11/2022,33,0
ABIKO CURRY,Japanese,03/17/2022,23,0
NELLY'S CHICKEN & PIZZA,Chicken,12/06/2021,27,0
VESELKA RESTAURANT,Eastern European,01/27/2023,10,0
PARIS BAGUETTE,Bakery Products/Desserts,03/07/2023,13,1
WAFELS & DINGES,Donuts,06/10/2022,7,0
PUYA,Mexican,02/13/2025,27,1
CHOW HOUSE,Chinese,03/11/2024,22,1
IL CORTILE RESTAURANT,Italian,08/31/2023,13,1
CASCALOTE LATIN BISTRO,Latin American,02/12/2025,13,1
HEAVEN'S HOT BAGEL,Bagels/Pretzels,11/13/2023,27,0
EASY CORNER,Caribbean,08/30/2022,46,1
BAKE CULTURE,Bakery Products/Desserts,06/06/2022,40,1
PECKING HOUSE,Chicken,12/04/2024,9,0
NEW DYNASTY,Chinese,09/19/2022,0,1
ASUKA SUSHI,Japanese,04/28/2022,37,1
375 CHICKEN 'N FRIES,Chicken,02/27/2025,13,1
COTTA,Italian,08/18/2021,18,1
P&T KNITWEAR,American,07/02/2024,13,1
DUNKIN,Donuts,04/28/2023,13,0
AREA LATINA BAR AND GRILL,Latin American,09/20/2023,127,0
MEEM SPICY GROCERY AND DELI,Bangladeshi,09/12/2024,85,1
REDFARM,Asian/Asian Fusion,08/17/2021,10,0
NORIKOH,Japanese,02/14/2022,12,0
CHECKER'S,American,03/14/2023,39,1
YUE LAI BAKERY,Bakery Products/Desserts,12/12/2022,26,0
SISTERS CUISINE,Caribbean,01/29/2025,46,1
THE ROOF,American,04/05/2022,10,0
787 COFFEE IS,Coffee/Tea,01/09/2025,29,0
BAREBURGER,American,09/06/2022,10,1
JUNIOR'S RESTAURANT,American,01/31/2022,23,1
77 BURGER,Hamburgers,05/12/2022,0,0
THE HIDEOUT,Coffee/Tea,12/04/2024,12,0
SWEETGREEN,Salads,06/10/2024,13,1
RUSTY'S FLAVOR,Caribbean,07/09/2024,24,1
SUSHI ZO,Japanese,11/20/2018,12,1
PRIME CATCH 46,Steakhouse,04/02/2024,12,1
HOLE IN THE WALL,American,01/19/2022,0,0
CHEZ NAPOLEON,French,12/10/2022,25,0
BITE,American,12/14/2022,17,1
TAKESHI SUSHI,Japanese,02/01/2024,12,1
SABOR Y PASION EN LA COCINA,Latin American,08/02/2024,35,0
PHOSHIME,Asian/Asian Fusion,01/31/2024,37,1
TENZAN,Japanese,08/12/2021,21,1
77 WEST BISTRO,American,07/02/2024,21,1
ZARO'S FAMILY BAKERY,Bakery Products/Desserts,06/27/2024,23,0
BLACK STONE COFFEE ROASTERS,American,05/10/2023,7,0
BLUE WILLOW,Chinese,12/09/2024,23,0
RALPH'S FAMOUS ITALIAN ICES AND ICE CREAM,Frozen Desserts,11/17/2022,45,1
MABU CAFE NYC,Chinese,11/12/2024,27,0
TED'S CORNER TAVERN,Greek,02/01/2024,2,0
LALLISTA PIZZA & PASTA,Pizza,08/23/2023,12,1
CHICKEN RANCH,Chicken,01/04/2024,5,0
DELICIOUS CHINESE RESTAURANT,Chinese,05/03/2022,53,0
ONE TWO THAI,Thai,02/01/2023,54,1
GAMMEEOK,Korean,01/18/2023,79,0
LAUGHING MAN CAFE,American,01/31/2023,39,1
DYLAN MURPHY'S,American,09/09/2024,21,0
BNY Exec. Dining Hall (16thfloor),American,11/19/2024,12,1
STARBUCKS,Coffee/Tea,03/13/2024,3,0
BENIHANA,Japanese,11/25/2024,10,0
JONGRO BBQ,Korean,05/11/2022,17,0
FRISSON ESPRESSO,Coffee/Tea,06/14/2022,39,1
"QUAD CINEMA, QUAD BAR",American,07/13/2022,20,0
MARLOW BISTRO,Mediterranean,09/13/2022,0,1
DUNKIN,Donuts,01/05/2024,12,1
HANG CHOU,Chinese,07/12/2024,31,1
FINNEGAN'S WAKE,Irish,10/17/2024,17,1
99 CENT DELICIOUS PIZZA,Pizza,02/16/2024,10,1
YGF MALATANG,Chinese,12/10/2024,24,1
METROPOLITAN OPERA,American,05/02/2023,21,1
ADRIENNE'S PIZZA BAR,Italian,02/14/2023,11,1
DUNKIN,Donuts,11/18/2021,44,1
FAMOUS FAMIGLIA PIZZA,Pizza,08/19/2024,27,1
GREGORYS COFFEE,Coffee/Tea,11/01/2024,30,0
BEACH CAFE,American,09/10/2024,95,0
BONCHON,Chicken,02/11/2025,29,1
ISLA,Australian,06/03/2022,0,0
M & W BAKERY,Coffee/Tea,10/27/2023,9,0
FAT BLACK PUSSY CAT,American,06/06/2024,9,1
Vestry,Other,11/30/2021,9,0
JUDY'S,"Juice, Smoothies, Fruit Salads",08/22/2023,12,0
NEW IVOIRE,African,06/05/2024,36,1
AQUAVIT,Scandinavian,04/25/2023,12,0
JOE COFFEE COMPANY,Coffee/Tea,12/16/2022,9,0
MYSTTIK MASALA,Indian,07/26/2023,35,1
RALPH'S FAMOUS ITALIAN ICES AND ICE CREAM,Frozen Desserts,09/15/2022,36,0
SKINNY CANTINA,Mexican,04/18/2023,9,1
DUNKIN,American,02/01/2022,5,1
CLASSIC CAR CLUB,American,05/20/2022,38,1
SHANGHAI TIME,Chinese,07/25/2024,105,1
TRAMWAY RESTURANT,American,11/20/2024,60,1
SANTIAGO'S BEER GARDEN,Latin American,11/30/2022,23,0
HANK'S PIZZA / LAZZARO,Pizza,11/29/2023,29,1
EUROS EL TINA RESTAURANT LOUNGE AND BILLIARDS,Latin American,02/09/2018,8,1
NEW DYNASTY,Chinese,12/28/2023,53,1
CAFE D'ALSACE,French,07/18/2023,32,1
SNACK TAVERNA,Greek,12/27/2023,19,0
MARISCO CENTRO,Spanish,04/12/2022,21,1
ONE CUP TEA,Coffee/Tea,01/19/2022,10,1
MANERO'S PIZZA,Pizza,03/07/2023,29,0
HIMALAYAN CURRY HOUSE,Asian/Asian Fusion,01/27/2023,84,1
STRIP HOUSE,Steakhouse,06/02/2022,0,0
SEN SAKANA,Jewish/Kosher,04/13/2022,23,1
VAN LEEUWEN ICE CREAM,Frozen Desserts,04/05/2022,26,1
EMMY SQUARED PIZZA,Pizza,07/24/2023,28,0
METROPOLITAN CLUB,American,06/28/2023,10,1
TOWNPLACE SUITES BREAKFAST,American,08/01/2022,29,1
Bar B,Italian,05/11/2022,10,1
P & M CLASSIC PIZZA & RESTAURANT,Pizza,01/22/2025,3,0
KISMAT INDIAN CUISINE,Indian,06/03/2024,25,1
TACO MAHAL,Tex-Mex,02/02/2022,0,1
KING,French,10/12/2024,23,1
HIGHLINE PIZZA NYC,Pizza,01/14/2025,13,0
Jet's Pizza,Pizza,02/20/2024,13,0
JOE & THE JUICE,"Juice, Smoothies, Fruit Salads",03/18/2024,47,0
NEW AMSTERDAM THEATER,American,01/11/2017,5,1
212 STEAKHOUSE,Steakhouse,02/02/2023,19,1
V BELVEOERE,Polish,11/26/2024,4,0
QUAN SUSHI & GRILL,Japanese,04/12/2022,21,0
BLUE RIBBON SUSHI IZAKAYA,Japanese,10/24/2024,30,1
VENCHI,Not Listed/Not Applicable,07/18/2024,13,0
OSTERIA LAGUNA,Italian,04/06/2023,5,1
APPAS PIZZA,Korean,08/03/2023,12,1
RANO'S CHICKEN BURGERS,Chicken,01/20/2023,20,1
APPLE GOURMET,American,10/26/2023,55,1
WINGSTOP,American,02/26/2025,29,0
CANTEEN M - CITIZEN M,American,09/19/2024,22,1
MAMAN,American,11/01/2023,37,0
NOODLE VILLAGE,Chinese,06/15/2022,23,0
PETRARCA,Italian,12/26/2023,41,0
RED MANGO,Frozen Desserts,08/19/2021,10,0
NA SLICE,Pizza,10/17/2023,17,0
EL CASTILLO DE JAGUA II,Spanish,10/24/2024,71,1
"UPSTAIRS LOUNGE THE KIMBERLY HOTEL, BISTANGO",American,12/26/2023,24,0
THAI FOR THOUGHT,Thai,12/20/2023,11,1
MEXICUE,Mexican,05/02/2023,25,1
H&H MIDTOWN BAGELS EAST,Bagels/Pretzels,03/05/2025,27,0
THE EAGLE CAFE,American,04/18/2022,22,1
AU JUS HARLEM,Barbecue,11/19/2024,13,0
BERON BERON,Japanese,01/23/2023,21,1
LASAGNA RESTAURANT,Italian,05/02/2023,21,1
KUNG FU TEA,Asian/Asian Fusion,02/08/2023,7,0
SERAFINA,American,11/07/2024,47,1
SQUARE DINER,American,06/06/2023,18,1
JOE & THE JUICE HUDSON ST,"Juice, Smoothies, Fruit Salads",11/16/2022,57,1
MONTE'S TRATTORIA,Italian,12/05/2024,45,1
BONCHON,Korean,11/15/2023,13,0
DUNKIN,Donuts,11/16/2023,13,1
DOMINO'S,Pizza,06/20/2023,12,1
POPUP BAGEL,Bagels/Pretzels,12/19/2024,2,0
DUNKIN',Donuts,03/29/2022,10,1
RAKU,Asian/Asian Fusion,04/09/2024,13,0
COCORON,Japanese,06/27/2022,0,1
THE SKINNY,American,04/25/2023,15,1
HIGHLINE PIZZA NYC,Pizza,05/28/2024,33,1
GUAC TIME,Mexican,03/06/2025,40,1
PLNT BURGER,Vegan,06/28/2023,27,1
VIA QUADRONNO,Italian,04/25/2024,21,0
COCO FRESH TEA & JUICE,"Juice, Smoothies, Fruit Salads",05/08/2023,40,0
GMT TAVERN,American,04/13/2023,26,0
VANILLA GORILLA CAFE,Coffee/Tea,07/26/2022,19,1
CAFE UN DEUX TROIS,French,05/05/2022,28,0
FAMOUS ORIGINAL RAY'S PIZZA,Pizza,08/05/2021,12,1
DIASPORA,American,01/13/2023,69,1
Dunkin,Donuts,12/09/2024,9,0
DELICIOUS CHINESE RESTAURANT,Chinese,04/04/2024,23,1
BLUESTONE LANE COFFEE,Australian,12/01/2022,35,1
OMAKASE SUSHI BY NONAME,Japanese,11/08/2023,27,0
DA NICO RESTAURANT,Italian,06/01/2022,0,1
MAMAN,Mediterranean,11/29/2022,33,1
C & B,Coffee/Tea,04/27/2022,7,1
HANKI,Korean,05/28/2024,23,1
THE HUMMUS & PITA CO.,Mediterranean,05/26/2023,7,1
PATIALA GRILL,Indian,01/20/2022,16,0
METRO CAFE,American,07/22/2024,28,1
PETE'S TAVERN,American,02/28/2023,10,1
"RESTAURANT ASSOCIATES, INC. (2 Manhattan  West)",American,09/25/2024,38,1
PAPA JOHN'S PIZZA,Pizza,11/22/2022,11,0
SEMMA,Indian,01/27/2023,26,1
FRESH & CO,Sandwiches/Salads/Mixed Buffet,10/28/2024,12,1
THE LOBSTER CLUB,Seafood,07/27/2022,10,1
LE PAIN QUOTIDIEN,Coffee/Tea,12/01/2023,11,1
"THE RITZ-CARLTON HOTEL, AUDEN",American,04/22/2022,13,0
LITTLE ITALY PIZZA,Pizza,06/08/2022,0,0
LIBERTY BAGEL MIDTOWN,Bagels/Pretzels,06/01/2023,62,1
SID GOLD'S REQUEST ROOM,American,05/28/2024,24,0
FAILTE,Irish,02/25/2025,11,1
PHEBES,American,10/19/2022,26,1
RAY'S CANDY STORE,American,02/28/2023,25,1
CELLAR DOG,American,11/02/2023,9,0
THREE JEWELS,Coffee/Tea,08/20/2024,48,1
YUKA RESTURANT,Other,10/22/2024,10,0
JUICY LUCY,"Juice, Smoothies, Fruit Salads",08/23/2022,6,1
STK STEAKHOUSE DOWNTOWN,Steakhouse,05/19/2023,58,1
WHITE CASTLE,Hamburgers,08/25/2021,19,1
DUNKIN,Donuts,01/17/2023,14,1
HUNGRY GHOST COFFEE,Coffee/Tea,04/01/2022,23,0
CAVA MEZZE GRILL,Mediterranean,04/24/2024,13,1
Deli El Chapincito,Latin American,11/25/2024,27,1
FAMOUS BAGEL BUFFET,American,08/15/2022,12,0
STARBUCKS,Coffee/Tea,12/20/2022,22,1
LA BELLA FERRARA PASTRY,Bakery Products/Desserts,11/30/2021,16,0
GOOD THANKS CAFE,Australian,01/11/2023,9,1
PLAYA BOWLS,Jewish/Kosher,03/13/2024,44,1
KONA COFFEE AND COMPANY,Coffee/Tea,11/07/2024,7,1
HULA POKE,Hawaiian,07/30/2024,12,1
KOKU RAMEN,Asian/Asian Fusion,02/27/2023,10,0
HIYAKE OMAKASE,Japanese,07/09/2024,13,1
FRESH WHITE SWAN BAKERY,Bakery Products/Desserts,05/16/2023,19,0
BAP,Korean,10/23/2018,22,1
BERMUDEZ BAKERY,Bakery Products/Desserts,12/19/2024,11,0
HILL COUNTRY,Barbecue,06/06/2022,23,0
THE BAR ROOM,American,01/13/2023,13,1
BLUE SMOKE,Barbecue,07/23/2024,31,1
CHOCOLAT,American,04/08/2022,13,0
GANSEVOORT LIBERTY MARKET,Fusion,01/14/2025,36,0
MARVELOUS BY FRED,Bakery Products/Desserts,02/23/2022,13,1
NOTHING REALLY MATTERS,American,08/08/2023,25,1
THE POLO BAR,American,11/10/2022,12,1
DOS CAMINOS,Mexican,02/08/2022,31,1
STAR'S CAFE (WESTIN HOTEL),American,12/12/2024,33,0
BLUESTONE LANE,Australian,11/25/2024,23,0
MATTO ESPRESSO,Sandwiches,02/03/2023,31,0
AMICI RISTORANTE,Italian,09/26/2022,32,1
GIARDINO 54,Italian,12/04/2024,2,0
SANT AMBROEUS,Italian,09/09/2021,7,0
CASA CRUZ,Other,04/18/2024,10,1
THE CHICK INN HARLEM,American,01/06/2025,12,1
APOTHEKE/ CHEMIST,American,10/22/2024,10,0
COOK EATERY,American,10/18/2023,11,0
CHIPOTLE MEXICAN GRILL,Tex-Mex,04/08/2024,10,1
QAHWAH HOUSE,Coffee/Tea,12/02/2024,48,1
COCO FRESH TEA & JUICE,"Juice, Smoothies, Fruit Salads",04/13/2023,21,1
TWELVE CHAIRS,Mediterranean,11/23/2022,6,0
Root JuIcery of Harlem,"Juice, Smoothies, Fruit Salads",04/08/2024,52,0
DESTINATION DUMPLINGS,Chinese,12/05/2022,28,1
TARTINERY,French,04/05/2022,11,0
MILENIO BAKERY,Bakery Products/Desserts,10/08/2024,13,1
HAANDI,Indian,02/12/2024,33,1
Home Kitchen,American,10/23/2023,7,1
BILL'S BAR & BURGER ROCKEFELLER CENTER,American,05/21/2024,13,0
PLAYA BOWLS,"Juice, Smoothies, Fruit Salads",01/23/2024,32,0
RESTUARANT NIPPON,Japanese,10/21/2024,40,0
GATSBY'S LANDING,American,07/01/2024,24,0
BISTRO CASA AZUL,Mexican,12/02/2021,29,1
JAJAJA MEXICANA,Mexican,09/12/2022,33,0
HAWA Bubble Tea,"Juice, Smoothies, Fruit Salads",11/10/2021,21,1
GOLDEN BOWL RESTAURANT,Chinese,02/03/2025,28,1
SERENDIPITY 3,American,11/29/2022,12,1
THE BREAD FACTORY CAFE,American,12/02/2022,43,0
CHIPOTLE MEXICAN GRILL,Tex-Mex,08/02/2023,13,0
Wonder,American,01/30/2023,10,0
PARTEA,Coffee/Tea,04/28/2023,78,1
SUPER TASTE,Chinese,07/23/2024,18,1
PEKING GARDEN,Chinese,09/19/2024,23,0
EL CAMION CANTINA,Mexican,07/01/2024,31,1
NOM,American,01/21/2025,26,1
MATSU SUSHI,Japanese,05/05/2022,45,0
KFC,American,06/13/2023,20,0
EL NUEVO CAPRI RESTAURANT,Spanish,04/07/2023,12,1
CIRCLE LINE QUEENS,American,07/30/2024,7,1
ADORO LEI,Pizza,12/19/2024,55,0
BAREBURGER,American,10/18/2023,13,0
LA CREPARIS,French,09/03/2024,24,1
OLLIN,Mexican,05/13/2024,13,0
SOHO 99 CENTS CHEESE PIZZA,Pizza,12/01/2022,3,0
INDIGO COFFEE CO,Coffee/Tea,01/07/2025,27,1
TSURUTONTAN UDON NOODLE BRASSERIE,Japanese,05/12/2022,0,1
DREAMER'S PIZZA,Pizza,11/21/2023,22,0
EMPEROR DUMPLING,Chinese/Japanese,07/02/2024,45,1
RAVAGH PERSIAN GRILL,Middle Eastern,05/05/2022,0,1
HOP WON EXPRESS,Chinese,12/22/2022,37,1
PORT SA'ID,Mediterranean,08/28/2023,18,1
EMPANADAS MONUMENTAL,Latin American,08/02/2022,12,1
FRAME,American,06/17/2022,25,1
YI ZHANG FISHBALL,Chinese,04/18/2022,56,1
PIACERE,Italian,12/03/2024,12,0
SUBWAY,Sandwiches,07/29/2021,19,1
GRIND NYC COFFEE SHOP,Coffee/Tea,05/22/2024,36,0
VESELKA,Eastern European,11/30/2023,2,0
CAFE MAUD,American,05/22/2024,12,0
277 PARK AVENUE CAFE',American,07/12/2024,6,0
THE GARRETT,American,04/07/2023,4,0
STARBUCKS,Coffee/Tea,01/10/2025,11,1
CHEZ MATY ET SOKHNA,African,01/28/2025,42,1
JR SUSHI,Japanese,03/01/2024,33,1
PUTTERY,American,02/26/2025,13,1
NEW YORK STOCK EXCHANGE EXECUTIVE SERVICES,American,05/11/2023,12,0
NINA'S GREAT BURRITO BAR,Mexican,12/18/2024,35,1
PELICANA CHICKEN,Chicken,08/17/2021,8,1
MASTRO'S STEAKHOUSE,Steakhouse,03/09/2022,5,1
EL CAMION CANTINA,Mexican,09/07/2022,58,1
VIN SUR VINGT,French,09/29/2022,12,1
REMI FLOWER & COFFEE,Coffee/Tea,08/07/2024,10,1
FIVE AND DIME,Coffee/Tea,09/30/2022,12,1
COURTYARD BY MARRIOTT MANHATTAN CHELSEA,American,04/19/2022,11,0
AKAMI SUSHI,Japanese,04/05/2022,18,0
THE LITTLE BEET TABLE,American,01/03/2024,5,0
YOAN MING GARDEN,Chinese,09/20/2023,22,0
CARAVAN UYGHUR CUISINE,Asian/Asian Fusion,09/19/2024,42,1
OLD XI'AN,Chinese,12/30/2024,40,1
ANDAZ 5TH AVENUE,American,10/04/2023,53,0
STARBUCKS COFFEE # 26528,Coffee/Tea,09/03/2021,8,0
OASIS JIMMA JUICE BAR,"Juice, Smoothies, Fruit Salads",12/19/2024,60,1
LAZZARA'S PIZZA CAFE & RESTAURANT,Pizza,03/09/2022,30,0
LAHORI KABAB,Pakistani,07/25/2022,15,0
CHELSEA PAPAYA,American,12/19/2024,5,0
CLAUDETTE,French,07/11/2022,38,1
BAR 9,American,03/03/2023,12,0
ALF BAKERY,Bakery Products/Desserts,06/15/2023,21,0
BONCHON,Korean,09/24/2024,30,0
VENUE,American,12/05/2024,24,1
IRON SUSHI,Japanese,05/16/2024,33,0
GARDEN CAFE,Italian,06/23/2022,0,0
THE FLATIRON ROOM,New American,12/26/2024,24,1
JUICE PRESS,"Juice, Smoothies, Fruit Salads",03/14/2023,21,1
CHICKEN INSIDER,Chicken,03/06/2023,18,0
CLASSIC CAR CLUB,American,03/30/2023,19,0
PLAYA BOWLS,"Juice, Smoothies, Fruit Salads",04/26/2023,28,1
COLLAGE BISTRO & BAR,American,11/13/2023,29,1
STARBUCKS COFFE #55085,Coffee/Tea,10/17/2024,8,1
FIRST CHOICE RESTAURANT,Chinese,07/02/2024,12,0
STUFFED ICE CREAM,Frozen Desserts,12/01/2022,27,1
GREEN GENERATION NYC INC,"Juice, Smoothies, Fruit Salads",12/08/2022,10,1
NEW IVOIRE,African,03/28/2022,19,1
BRASS MONKEY,American,10/09/2024,35,1
HUDSON CLEARWATER,French,03/09/2023,11,0
TERIYAKI R US,Asian/Asian Fusion,11/21/2024,24,1
CHINA XIANG,Chinese,06/01/2022,0,0
ZOE CAFE,Egyptian,04/17/2024,6,1
AYADA,Thai,05/31/2023,13,0
ETHOS GALLERY,Greek,06/03/2024,37,1
